location_id,lat,lon
1,32.565354,-117.114567
2,32.613089,-116.606815
3,32.6239832,-116.9674521
4,32.62767,-117.01517
5,32.656721,-117.156376
6,32.665217,-117.098784
7,32.673217,-117.006101
8,32.684859,-115.494738
9,32.71841,-116.870862
10,32.732494,-115.529398
11,32.733071,-117.034413
12,32.7502778,-114.7652778
13,32.769495,-117.021923
14,32.786351,-115.560206
15,32.790475,-115.684982
16,32.792687,-117.0804356
17,32.801673,-116.960468
18,32.8028991,-117.1387739
19,32.80328,-116.90561
20,32.813781,-115.378319
21,32.830391,-117.120923
22,32.8328259,-117.2000351
23,32.838801,-115.572012
24,32.8401623,-117.2740777
25,32.841513,-116.510706
26,32.842487,-116.755911
27,32.85499,-116.986056
28,32.8670902,-117.2059976
29,32.869565,-116.627878
30,32.9022691,-117.0997546
31,32.915602,-117.1439226
32,32.9497788,-117.0952453
33,32.963945,-117.259804
34,32.978454,-115.528569
35,32.987677,-117.021814
36,32.9913,-117.258062
37,33.009376,-116.787314
38,33.0186103,-117.0610495
39,33.020833,-117.279167
40,33.025814,-117.198148
41,33.045811,-116.877546
42,33.050632,-117.263616
43,33.073502,-116.588883
44,33.1092099,-116.673076
45,33.129284,-117.284183
46,33.132567,-117.169892
47,33.133053,-117.074043
48,33.189528,-117.238582
49,33.224601,-117.306291
50,33.232994,-117.015763
51,33.240965,-116.357119
52,33.274876,-117.191863
53,33.2822596,-116.6336303
54,33.374235,-117.220375
55,33.4108642,-117.1025304
56,33.449143,-117.61312
57,33.452287,-116.85547
58,33.475452,-117.693087
59,33.493073,-117.131734
60,33.500889,-117.654388
61,33.513871,-117.561744
62,33.5225261,-117.7075526
63,33.528654,-117.701253
64,33.54337,-117.761801
65,33.549146,-117.641741
66,33.55112767,-117.4796637
67,33.573214,-117.191007
68,33.57921,-117.728898
69,33.583798,-117.623747
70,33.591216,-117.697621
71,33.5963719,-117.826821
72,33.597037,-117.586484
73,33.609335,-117.656471
74,33.612058,-117.730319
75,33.617278,-117.258312
76,33.626595,-117.865392
77,33.632332,-117.599008
78,33.641767,-116.273943
79,33.654946,-117.675848
80,33.665905,-117.912336
81,33.678228,-117.594009
82,33.678399,-117.771254
83,33.6791872,-117.63116
84,33.6831832,-117.6664308
85,33.685956,-117.335404
86,33.688302,-117.263547
87,33.689858,-117.184383
88,33.69038,-116.143128
89,33.6974288,-117.7156459
90,33.698007,-118.003834
91,33.699892,-116.32955
92,33.710582,-117.951129
93,33.71463,-117.077398
94,33.7265218,-117.7779646
95,33.730927,-117.810596
96,33.731639,-116.235971
97,33.734068,-116.996808
98,33.734972,-117.078244
99,33.7358518,-118.2922934
100,33.736332,-117.8829
101,33.737635,-116.364145
102,33.738517,-118.369685
103,33.74349,-116.287335
104,33.7435698,-116.7237763
105,33.744209,-116.73069
106,33.745119,-117.984843
107,33.745881,-117.113241
108,33.748176,-117.628479
109,33.752292,-117.993868
110,33.754399,-118.07132
111,33.758003,-117.467159
112,33.760016,-118.347168
113,33.763838,-116.430388
114,33.764806,-117.157107
115,33.76489,-117.79538
116,33.774271,-118.425754
117,33.778138,-118.333117
118,33.778782,-117.960472
119,33.780791,-118.16818
120,33.786971,-117.861265
121,33.788691,-118.080326
122,33.789849,-117.222171
123,33.7911012,-118.3012604
124,33.796913,-118.061234
125,33.798864,-116.995914
126,33.800233,-117.993449
127,33.801137,-117.141382
128,33.803361,-116.53828
129,33.803461,-118.169735
130,33.817985,-117.811293
131,33.818477,-118.038307
132,33.828465,-117.123334
133,33.830453,-118.356618
134,33.835487,-116.463103
135,33.840367,-118.249574
136,33.847135,-118.121894
137,33.849538,-118.400755
138,33.850616,-118.039565
139,33.855502,-117.758657
140,33.857353,-118.007373
141,33.861969,-117.565495
142,33.8647381,-118.3036841
143,33.867591,-118.080634
144,33.867745,-118.069471
145,33.869819,-118.405296
146,33.876722,-116.953009
147,33.881158,-117.854783
148,33.885716,-117.928025
149,33.887821,-118.12725
150,33.888435,-118.353143
151,33.88872555,-117.3116687
152,33.889038,-117.77207
153,33.894047,-118.227469
154,33.894417,-118.307522
155,33.894841,-118.195586
156,33.90087,-118.420715
157,33.902045,-118.008961
158,33.9076,-118.083453
159,33.910367,-118.425079
160,33.914775,-118.348083
161,33.923253,-117.205685
162,33.925178,-117.865111
163,33.925519,-117.551958
164,33.927927,-117.951554
165,33.9330713,-117.4025452
166,33.933565,-118.062611
167,33.93559,-116.687212
168,33.938143,-117.393168
169,33.938237,-118.130856
170,33.942969,-117.725648
171,33.944159,-118.192761
172,33.945903,-116.899044
173,33.9541453,-118.4388067
174,33.956068,-118.344274
175,33.957591,-116.542284
176,33.958959,-117.948973
177,33.9597349,-118.400632
178,33.963274,-117.582369
179,33.966827,-118.020122
180,33.970313,-117.890568
181,33.9728,-118.4267
182,33.975627,-117.667351
183,33.976373,-118.450888
184,33.979248,-118.217438
185,33.979642,-116.969371
186,33.979704,-118.179249
187,33.98208635,-117.5153511
188,33.987349,-117.05424
189,33.9883591,-118.330882
190,33.989524,-118.089295
191,33.994472,-118.347762
192,33.995044,-118.4668875
193,33.995853,-117.973023
194,34.001123,-118.210869
195,34.001573,-117.817601
196,34.002591,-117.467612
197,34.00582,-118.396781
198,34.0084332,-118.424222
199,34.010911,-118.498245
200,34.0146113,-118.3603104
201,34.015444,-118.111012
202,34.019394,-118.410825
203,34.0228,-118.4047
204,34.02586,-118.759643
205,34.026232,-117.940327
206,34.03116,-117.313192
207,34.032333,-117.95352
208,34.03357,-117.042887
209,34.037042,-117.605956
210,34.037195,-117.855606
211,34.043287,-117.246647
212,34.0464959,-118.4478087
213,34.0480643,-118.5264706
214,34.04838,-118.133165
215,34.050377,-118.048384
216,34.05201125,-118.4125118
217,34.053506,-117.170476
218,34.054525,-117.325029
219,34.055941,-117.909937
220,34.058494,-117.761091
221,34.060067,-117.401237
222,34.060639,-117.11502
223,34.06888,-118.08268
224,34.071493,-117.69808
225,34.074633,-118.029136
226,34.07923,-118.402437
227,34.082824,-117.971286
228,34.083571,-118.136444
229,34.088268,-118.371831
230,34.090475,-117.882143
231,34.094636,-118.098469
232,34.096777,-118.606021
233,34.098907,-118.327759
234,34.102156,-118.057971
235,34.107957,-117.808529
236,34.108967,-118.156618
237,34.109686,-117.462888
238,34.111855,-117.963614
239,34.113473,-117.165729
240,34.1144532,-118.1842389
241,34.116073,-117.659922
242,34.117427,-117.389211
243,34.120521,-117.769928
244,34.121499,-117.592489
245,34.1216903,-118.3465777
246,34.122671,-118.112911
247,34.123347,-116.421557
248,34.123421,-117.995864
249,34.123633,-116.312862
250,34.124926,-117.71392
251,34.130306,-117.566067
252,34.132689,-118.036347
253,34.134252,-118.666455
254,34.136675,-118.817367
255,34.138524,-117.912253
256,34.139222,-118.102524
257,34.14114,-117.294635
258,34.144964,-117.847804
259,34.147804,-116.065991
260,34.148942,-118.76393
261,34.1508718,-118.448986
262,34.153159,-117.968818
263,34.153351,-118.165794
264,34.1597862,-118.4991322
265,34.160602,-118.137954
266,34.160967,-117.950447
267,34.162143,-119.204177
268,34.1637147,-118.3965758
269,34.163984,-117.984646
270,34.165936,-118.61039
271,34.168771,-118.050216
272,34.1689262,-118.5365791
273,34.181393,-118.24583
274,34.1826379,-118.4138666
275,34.18347115,-118.3122368
276,34.183671,-118.91183
277,34.184984,-118.76694
