identifier,location_id
0182e4728a7c90059bdb0073b7e6b7f1b020dc94,408
018b9032f66b15cabd0df93e5fc728398c1a4030,100
019be71517b9ba7d2246cc07a3932dbafdca98c9,657
019ffc23a2f7319ee9d200929a5b4419e26445d1,335
01a3e09831817e52661e9335a7ed7f5d2a866e04,441
01a9cd8fdc867b83b9d474dbc6fa2061e059a24d,482
01ae5c9c3784e64a7703786bf16b42e6c9701093,202
01b1fc32f7e2bdd4d4b8737b0eabab18f127bd73,21
01b2faf3b8f10705453d6265db27a91ba1549527,129
01b4f18ec0e7c8d8895952fd4636932560cf4496,372
01b5ab416118b5bbb2bcf83bbc8f0de470177edc,470
01bd28cf2879e3fb0b0b2b711497895374d38084,294
01c2ff415029cbc0254412202c1eab540d82e050,512
01c88be4b51d589cf30c8fb14efdc32151736a24,583
01c8c49862ecf5bd305f1f260fe4a73509f78074,482
01d511e0065d9d399afc762c20e694a3318d550c,282
01d9277d7fef4a3febc15203c4094c02acd674ea,82
01e5ab980dd17785c424c71208c5bc4c2d066664,599
01e684afdbf2a93cd514cbda14c6a544cd32260b,48
01e6953d1d9b649631114985ad6ef1260b0dd3d5,202
01f4bdf454200ba559a8c3dede6a003ea42f6785,482
0201981806742e638c21221fcb336724e689a7af,585
020227179a352535af1912e31cadf7fd972a259c,202
0204c73c8e8e2d2c07d74ee54150f5d328ad8358,282
020a1852120401700f9704d4ba6e2da8bb1a0626,600
020aeeb5021edce272508025cce0514b2cde91dc,250
020d47724c5ed3ee4f833457fb8dbe9fda146fc6,482
021378323fe5986ca191d79fbc704f99d6a2c6a6,202
02140f96000da1eed1e6c94334686644e9630fdd,281
02157b1879af38a04945c0c82abbc8373344c5ab,204
021a417992f3539183bf8d74f1fedab3275b3cb1,467
021dd84ed60550be4cb9c8d594c3f946a93129eb,95
021de67d96093be17c56414fab6a5aa3f4f289e1,399
021f13c968b06a6ab5c6a8d90793b67b2775309d,441
02226a82645a6ffce6f62d2ad055712a4e4f0d83,4
0231e85d98235c1cf85c98d24dba99959352b36a,202
0235a1b3dcf61665d3dd236bee52ed20bd723db6,56
0236b49c293c4f48db2648c0f16a5553c7992712,67
02371fe644cf7d3553cf1ed2020cd9168d572fe3,551
