identifier,model,country,province_state,CityRev,Latitude,Longitude,readable_city,Selected_Source,building_type_pre,floor_area_sqft,number_floors,building_age_yrs,number_occupants,allow_comp_with_aux,has_electric,has_heatpump,number_remote_sensors,ASHRAE,CA_Title24_Zone,geometry,GEOID_place,NAME_place,LSAD_place,GEOID_county,NAME_county,STATEFP_county
a51f1a8c7fb06e35447daaa00305fa46b83d2819,ESTWVC,US,CA,Plumas Lake CDP,38.979131,-121.558056,Yes,census.gov,Null,0,0,0,0,True,False,False,"1, 3",3B,11,POINT (-121.558056 38.979131),657829.0,Plumas Lake,57.0,6115,Yuba,6
a5587afbeee48cbdd62ae4de766ff2c1114df4c6,ecobee4,US,CA,Corona City,33.861969,-117.565495,Yes,census.gov,Detached,2500,2,20,0,False,False,False,"1, 2, 3",3B,10,POINT (-117.565495 33.861969),616350.0,Corona,25.0,6065,Riverside,6
a602b3c0eb2347fc31907e863c35a62ab2bca6d2,ecobee3Lite,US,CA,El Dorado Hills CDP,38.676082,-121.0477,Yes,census.gov,Detached,3000,2,20,5,True,False,False,"0, 1",4B,12,POINT (-121.0477 38.676082),621880.0,El Dorado Hills,57.0,6017,El Dorado,6
a60b385aca8127a30e82dc673f4695ab238b6eca,ESTWVC,US,CA,Imperial City,32.838801,-115.572012,Yes,census.gov,Detached,1500,1,120,3,True,False,False,1,2B,15,POINT (-115.572012 32.838801),636280.0,Imperial,25.0,6025,Imperial,6
a619cabe774b080fdab59d6a07962fadcdb96eb9,ESTWVC,US,CA,Grass Valley City,39.220305,-121.052654,Yes,census.gov,Apartment,500,1,1,0,True,False,False,0,5B,11,POINT (-121.052654 39.220305),630798.0,Grass Valley,25.0,6057,Nevada,6
a624d047616ac8a0652e466cf386682b958e32ac,ESTWVC,US,CA,Riverside City,33.938143,-117.393168,Yes,census.gov,Detached,3000,2,19,0,True,False,False,0,3B,10,POINT (-117.393168 33.938143),662000.0,Riverside,25.0,6065,Riverside,6
a62ff7aeece24c9abd233caf1635d39cd106de9d,ESTWVC,US,CA,San Diego City,32.830391,-117.120923,Yes,census.gov,Detached,3501,3,39,0,True,False,False,"7, 14",3B,7,POINT (-117.120923 32.830391),666000.0,San Diego,25.0,6073,San Diego,6
a64ad0561a9b328bc716e8314e29cd96c6588dd3,ecobee3Lite,US,CA,Orange City,33.786971,-117.861265,Yes,census.gov,Other,2001,2,31,0,False,False,False,"1, 2",3B,8,POINT (-117.861265 33.786971),653980.0,Orange,25.0,6059,Orange,6
a67d1575bd4d81a9bf53c85ff74e27497ea1b1ce,ecobee3Lite,US,CA,Fairfield City,38.261965,-122.032389,Yes,census.gov,Detached,2000,2,10,0,False,False,False,"3, 6",3B,12,POINT (-122.032389 38.261965),623182.0,Fairfield,25.0,6095,Solano,6
a6d14f277378cc35c4e86cfca809d526e67a683d,ecobee3Lite,US,CA,Long Beach City,33.780791,-118.16818,Yes,census.gov,Other,1500,1,75,4,False,False,False,0,3B,6,POINT (-118.16818 33.780791),643000.0,Long Beach,25.0,6037,Los Angeles,6
a6db60aedf5786d836bb724f73fa444455695a6a,undefined,US,CA,Norco City,33.925519,-117.551958,Yes,census.gov,Detached,4001,2,22,0,True,False,False,"5, 10",3B,10,POINT (-117.551958 33.925519),651560.0,Norco,25.0,6065,Riverside,6
a71de364582c7d62e3e76f7542f69e1b8822fabe,ESTWVC,US,CA,Laguna Niguel City,33.528654,-117.701253,Yes,census.gov,Detached,2501,3,41,0,True,False,False,"1, 2",3B,6,POINT (-117.701253 33.528654),639248.0,Laguna Niguel,25.0,6059,Orange,6
a72468fe9ed8e304ad742e2d95734e5a2920ca15,ecobee3Lite,US,CA,Half Moon Bay City,37.467319,-122.440485,Yes,census.gov,Townhouse,1500,3,25,2,False,False,False,"0, 4, 8",3C,3,POINT (-122.440485 37.467319),631708.0,Half Moon Bay,25.0,6081,San Mateo,6
a78468e3d69fcbff4644eceb794a8ba131efdbb6,undefined,US,CA,Grass Valley City,39.220305,-121.052654,Yes,census.gov,Detached,1501,1,3,0,True,False,False,0,5B,11,POINT (-121.052654 39.220305),630798.0,Grass Valley,25.0,6057,Nevada,6
a78dc94e0687a5429d6652bb1ee987d9b1ad6db0,ecobee3Lite,US,CA,Cupertino City,37.3194,-122.044957,Yes,census.gov,Detached,4000,1,15,0,False,False,False,0,3C,4,POINT (-122.044957 37.3194),617610.0,Cupertino,25.0,6085,Santa Clara,6
a80c2dcc0448cf85c7df8bbf40582f62168efeee,SmartSi,US,CA,Spring Valley CDP,39.076053,-122.584512,Yes,census.gov,Other,3500,2,10,0,False,False,False,0,4B,2,POINT (-122.584512 39.076053),673690.0,Spring Valley,57.0,6033,Lake,6
a83abac326cebedb7021d5b2792b52687c239b51,ecobee3Lite,US,CA,Mammoth Lakes Town,37.624435,-118.988432,Yes,census.gov,Condominium,1500,2,45,0,False,False,False,0,6B,16,POINT (-118.988432 37.624435),645358.0,Mammoth Lakes,43.0,6051,Mono,6
a8638ee34dc45413a03277bbfe85c3aefde4f4de,ecobee3Lite,US,CA,Los Angeles City,34.019394,-118.410825,Yes,census.gov,Condominium,1500,2,30,0,False,False,False,"1, 2",3B,8,POINT (-118.410825 34.019394),644000.0,Los Angeles,25.0,6037,Los Angeles,6
